Etiq-Strain+Automat+CG
AB253420=HEVN2. 4.JPN.Okinawa.hum.CG
EU495107=TLS03. 3f.FRA.hum
EU495110=TLS33. 3f.FRA.hum
EU495113=TLS22. 3f.FRA.hum
EU495118=TLS07. 3f.FRA.hum
EU495120=TLS10. 3f.FRA.hum
EU495131=TLS17. 3f.FRA.hum
EU495134=TLS19. 3f.FRA.hum
EU495136=TLS26. 3f.FRA.hum
EU495142=TLS37. 3f.FRA.hum
EU495148=TLS25. 3f.FRA.hum.CG
EU495149=TLS10. 3f.FRA.hum
EU495156=TLS03. 3f.FRA.hum
EU495160=TLS07. 3f.FRA.hum
EU495163=TLS17. 3f.FRA.hum
EU495168=TLS22. 3f.FRA.hum
EU495171=TLS26. 3f.FRA.hum
EU495176=TLS19. 3f.FRA.hum
EU495180=TLS37. 3f.FRA.hum
EU495184=TLS33. 3f.FRA.hum
EU495192=TLS22. 3f.FRA.hum
EU495195=TLS26. 3f.FRA.hum
EU495200=TLS19. 3f.FRA.hum
EU495201=TLS07. 3f.FRA.hum
EU495210=TLS10. 3f.FRA.hum
EU495216=TLS03. 3f.FRA.hum
EU495218=TLS17. 3f.FRA.hum
EU495220=TLS33. 3f.FRA.hum
EU495226=TLS37. 3f.FRA.hum
EU526606=HEV/SW/NL/2005-980. 3f.NLD.pig
EU526607=HEV/SW/NL/2005-981. 3f.NLD.pig
EU526608=HEV/SW/NL/2005-987. 3f.NLD.pig
EU526609=HEV/SW/NL/2005-989. 3f.NLD.pig
EU526610=HEV/SW/NL/2005-1034. 3f.NLD.pig
EU526611=HEV/SW/NL/2005-1039. 3f.NLD.pig
EU526612=HEV/SW/NL/2005-1049. 3f.NLD.pig
EU526613=HEV/SW/NL/2005-997. 3f.NLD.pig
EU526614=HEV/SW/NL/2005-1052. 3f.NLD.pig
EU526615=HEV/SW/NL/2005-1012. 3f.NLD.pig
EU526616=HEV/SW/NL/2006-325455. 3f.NLD.pig
EU526617=HEV/SW/NL/2005-1065. 3f.NLD.pig
EU526618=HEV/SW/NL/2005-1066. 3f.NLD.pig
EU526619=HEV/SW/NL/2005-1023. 3f.NLD.pig
EU526620=HEV/WATER/NL/2004-182. 3f.NLD.water
EU526621=HEV/SW/NL/2005-1061. 3f.NLD.pig
EU526622=HEV/SW/NL/2005-973. 3f.NLD.pig
EU526623=HEV/SW/NL/2005-982. 3f.NLD.pig
EU526624=HEV/SW/NL/2005-975. 3f.NLD.pig
EU723512=SW626. 3f.ESP.pig.CG
EU723513=SW627. 3f.ESP.pig.CG
EU723514=SWP6. 3f.ESP.pig.CG
EU723515=SWP7. 3f.ESP.pig.CG
EU723516=SWP8. 3f.ESP.pig.CG
EU879100=V0609821. 3f.DEU.hum.UReg
EU879102=V0609825. 3f.DEU.hum.UReg
EU879106=V0616823. 3f.DEU.hum.UReg
EU879112=V0707060. 3f.DEU.hum.UReg
EU879114=V0710246. 3f.DEU.hum.UReg
EU879116=V0711277 . 3f.DEU.hum.UReg
FJ464744=C12. 3f.ESP.hum
FJ464748=C9. 3f.ESP.hum
FJ464749=C13. 3f.ESP.hum
FJ641052=HUN-E134. 3f.HUN.hum
FJ653660=CU001. 3f.THA.hum.CG
FJ956757=HEV_RKI. 3f.DEU.Berlin.hum.RKI.CG
FJ998017=SA29. 3f.DEU.BB,Welzow.wb.RKI
FN985024=V1011292. 3f.DEU.BB.hum.UReg
FN985026=V1011911. 3f.DEU.MV.hum.UReg
FR728250=V1021644. 3f.DEU.BB.hum.UReg
GU117636=Sw28IT. 3f.ITA.pig
GU299813=CZhHEV113-09. 3f.CZE.hum
GU947815=CU002. 3f.THA.hum
HE605113=V1007014. 3f.DEU.hum.Ureg
HQ688787=Fr-10Y57. 3f.FRA.hum
HQ702487=Case1_Ser_Lg. 3f.FRA.Marseille.hum
HQ702488=Case1_LCR_Sh. 3f.FRA.Marseille.hum
HQ702489=Case2_Ser_Sh. 3f.FRA.Marseille.hum
JF718827=FR-SHEVL183. 3f.FRA.pig
JF718828=FR-SHEVL185. 3f.FRA.pig
JF718829=FR-SHEVL186. 3f.FRA.pig
JF730330=Fr-08H53. 3f.FRA.pig
JF730331=Fr-08L40. 3f.FRA.pig
JF730332=Fr-08I96. 3f.FRA.pig
JN398370=TR09. 3f.FRA.Toulouse .hum
JN415704=swine/Ger/19. 3f.DEU.pig.TiHo
JN906974=FR-HuHEVF3f. 3f.FRA.hum.CG
JN906975=FR-SHEVF3f. 3f.FRA.pig.CG
JN906976=FR-SHEVB3f. 3f.FRA.pig.CG
JN995565=Oct4. 3f.SWE.hum.PEI
JN995570=Oct9. 3f.SWE.hum.PEI
JN995572=Oct11. 3f.SWE.hum.PEI
JN995573=Oct12. 3f.SWE.hum.PEI
JQ522948=U1. 3f.ESP.pig
JQ953666=FR-SHEV3f. 3f.FRA.pig.CG
KC166967=TLS09. 3f.FRA.Toulouse .hum.CG
KC166968=TLS09. 3f.FRA.Toulouse .hum.CG
KC166969=TLS09. 3f.FRA.Toulouse .hum.CG
KC166970=TLS09. 3f.FRA.Toulouse .hum.CG
KC166971=TLS09. 3f.FRA.Toulouse .hum.CG
KC911858=TR6. 3f.FRA.Toulouse .hum
KC911878=TR18. 3f.FRA.Toulouse .hum
KC911903=TR12. 3f.FRA.Toulouse .hum
KC911918=TR11. 3f.FRA.Toulouse .hum
KC911938=TR21. 3f.FRA.Toulouse .hum
KC911958=TR8. 3f.FRA.Toulouse .hum
KC911978=TR25. 3f.FRA.Toulouse .hum
KC911998=TR3. 3f.FRA.Toulouse .hum
KC912018=TR4. 3f.FRA.Toulouse .hum
KC912058=TR15. 3f.FRA.Toulouse .hum
KC912078=TR14. 3f.FRA.Toulouse .hum
KC912098=TR13. 3f.FRA.Toulouse .hum
KC912118=TR7. 3f.FRA.Toulouse .hum
KF513601=HEV_EW106. 3f.GBR.hum
KF513608=HEV_EW112. 3f.GBR.hum
KF513609=HEV_EW113. 3f.GBR.hum
KF513614=HEV_EW118. 3f.GBR.hum
KF513628=HEV_EW130. 3f.GBR.hum
KF513629=HEV_EW131. 3f.GBR.hum
KF513631=HEV_EW133. 3f.GBR.hum
KF513636=HEV_EW138. 3f.GBR.hum
KF513645=HEV_EW146. 3f.GBR.hum
KF513648=HEV_EW14. 3f.GBR.hum
KF513668=HEV_EW168. 3f.GBR.hum
KF513669=HEV_EW169. 3f.GBR.hum
KF513681=HEV_EW17. 3f.GBR.hum
KF513693=HEV_EW17. 3f.GBR.hum
KF513698=HEV_EW190. 3f.GBR.hum
KF513703=HEV_EW196. 3f.GBR.hum
KF513712=HEV_EW1. 3f.GBR.hum
KF513718=HEV_EW208. 3f.GBR.hum
KF513719=HEV_EW213. 3f.GBR.hum
KF513726=HEV_EW214. 3f.GBR.hum
KF513728=HEV_EW220. 3f.GBR.hum
KF513730=HEV_EW222. 3f.GBR.hum
KF513740=HEV_EW224. 3f.GBR.hum
KF513750=HEV_EW233. 3f.GBR.hum
KF513752=HEV_EW242. 3f.GBR.hum
KF513753=HEV_EW244. 3f.GBR.hum
KF513766=HEV_EW245. 3f.GBR.hum
KF513770=HEV_EW257. 3f.GBR.hum
KF513771=HEV_EW260. 3f.GBR.hum
KF513809=HEV_EW261. 3f.GBR.hum
KF513814=HEV_EW296. 3f.GBR.hum
KF513816=HEV_EW2. 3f.GBR.hum
KF513817=HEV_EW301. 3f.GBR.hum
KF513824=HEV_EW302. 3f.GBR.hum
KF513833=HEV_EW309. 3f.GBR.hum
KF513860=HEV_EW317. 3f.GBR.hum
KF513865=HEV_EW341. 3f.GBR.hum
KF513875=HEV_EW346. 3f.GBR.hum
KF513893=HEV_EW355. 3f.GBR.hum
KF513906=HEV_EW371. 3f.GBR.hum
KF513929=HEV_EW383. 3f.GBR.hum
KF513932=HEV_EW403. 3f.GBR.hum
KF513939=HEV_EW406. 3f.GBR.hum
KF513963=HEV_EW412. 3f.GBR.hum
KF513969=HEV_EW434. 3f.GBR.hum
KF513986=HEV_EW43. 3f.GBR.hum
KF513996=HEV_EW455. 3f.GBR.hum
KF514005=HEV_EW464. 3f.GBR.hum
KF514015=HEV_EW472. 3f.GBR.hum
KF514034=HEV_EW481. 3f.GBR.hum
KF514045=HEV_EW499. 3f.GBR.hum
KF514087=HEV_EW508. 3f.GBR.hum
KF891380=ITswHEV1331. 3f.ITA.pig
KJ547592=huFR_D. 3f.DEU.hum.FUH
KJ547593=huFR_R. 3f.DEU.hum.FUH
KJ873911=FR. 3f.DEU.Freiburg .hum.UMCF.CG
KJ873912=FR. 3f.DEU.Freiburg .hum.UMCF.CG
FR728251=V1019129. 3feg.DEU.BB.hum.UReg
FR728252=V1019129. 3feg.DEU.BB.hum.UReg
AF455784=Osh 205. 3g.KGZ.pig(*).CG
EU117408=CZswHEV1. 3g.CZE.pig
EU117409=CZswHEV4. 3g.CZE.pig
EU117410=CZswHEV6. 3g.CZE.pig
EU117413=CZswHEV21. 3g.CZE.pig
EU879118=V0714229. 3g.DEU.hum.UReg
GU299812=CZhHEV108-09. 3g.CZE.hum
GU299814=CZwbHEV71-09. 3g.CZE.wb
GU299816=CZwbHEV51-09. 3g.CZE.wb
HM483384=009-10. 3g.SRB.pig
AB290312=swMN06-A1288. 3h.MNG.pig.CG
AF110387=It1. 3h.ITA.hum(*)
AF110390=It1. 3h.ITA.hum(*)
AF200704=swNZ. 3h.NZL.pig(*)
AF215661S1=swNZ. 3h.NZL.pig(*)
AF490991=BCN10. 3h.ESP.sewage
DQ445667=NZ_Case1. 3h.NZL.hum
EU035811=108S. 3h.DEU.wb.FIRA
EU035814=149E. 3h.DEU.wb.FIRA
EU035815=12464E. 3h.DEU.wb.FIRA
EU495144=TLS40. 3h.FRA.hum
EU495188=TLS40. 3h.FRA.hum
EU495232=TLS40. 3h.FRA.hum
FJ998009=BW05. 3h.DEU.BW,BB.wb.RKI
HQ682232=Fr-10Y56. 3h.FRA.hum
JN398372=TR19. 3h.FRA.Toulouse .hum
JQ013794=TR19. 3h.FRA.hum.CG
JQ953664=FR-SHEV3c-like. 3h.FRA.pig.CG
JX507128=swHEV-MG-104. 3h.MDG.pig
JX507129=swHEV-MG-121. 3h.MDG.pig
JX507130=swHEV-MG-190. 3h.MDG.pig
KC012634=Yaounde96. 3h.Cameroon.pig
KC012635=Yaounde94. 3h.Cameroon.pig
KC912038=TR23. 3h.FRA.Toulouse .hum
AF264009=Ar1. 3i.ARG.hum(*)
AF264010=Ar2. 3i.ARG.hum(*)
AF264012=Ar2. 3i.ARG.hum(*)
AF279122=Au1. 3i.AUT.hum(*)
AF279123=Au1. 3i.AUT.hum(*)
AY258006=swAr. 3i.ARG.pig(*)
AY286304=swAr. 3i.ARG.pig(*)
FJ748515=wbGER39. 3i.DEU.TH.wb.FIRA
FJ748516=wbGER77. 3i.DEU.TH.wb.FIRA
FJ748530=wbGER77. 3i.DEU.TH.wb.FIRA
FJ998008=BB02. 3i.DEU.BB,Krausnick.wb.RKI.CG
FJ998010=RP1647. 3i.DEU.RP.wb.RKI
FJ998011=RP1658. 3i.DEU.RP.wb.RKI
FJ998012=RP1752. 3i.DEU.RP.wb.RKI
FJ998018=BB19. 3i.DEU.BB,Krausnick.wb
HE716853=V1008053. 3i.DEU.Nordrhein-Westfalen.hum.Ureg
HM623777=sw11_4bAT. 3i.AUT.pig
JF490048=E1Arg42.15. 3i.ARG.hum
JN995566=Oct5. 3i.SWE.hum.PEI
JN995571=Oct10. 3i.SWE.hum.PEI
JQ807471=4322. 3i.DEU.MV.wb.FLI
JQ807474=5160. 3i.DEU.MV.wb.FLI
JQ807475=5304. 3i.DEU.MV.wb.FLI
JQ807481=WS05-09. 3i.DEU.MV,Ovp.wb.FLI
JQ807482=WS05-09. 3i.DEU.MV,Ovp.wb.FLI
JQ807483=WS05-09. 3i.DEU.MV,Ovp.wb.FLI
JQ807484=WS21-10. 3i.DEU.MV,Sfh.wb.FLI
JQ807485=WS21-10. 3i.DEU.MV,Sfh.wb.FLI
KF303486=wb22. 3i.DEU.wb.JLUG
KF303488=wb91. 3i.DEU.wb.JLUG
KF303489=wb75. 3i.DEU.wb.JLUG
KF303490=wb76. 3i.DEU.wb.JLUG
KF303491=wb119. 3i.DEU.wb.JLUG
KF303492=wb52. 3i.DEU.wb.JLUG
KF303493=wb104. 3i.DEU.wb.JLUG
KF303494=wb25. 3i.DEU.wb.JLUG
KF303495=wb118. 3i.DEU.wb.JLUG
AB369689=E088-STM04C. 3j.JPN.Saitama.hum.CG
AB740232=G3-HEV83-2-27. 3j.JPN.pig.CG
AF521654=swMex. 3j.MEX.pig(*)
DQ079632=G3-4531-Swine. 3j.JPN.pig
JF490049=E1Arg52.24. 3j.ARG.hum
KF513732=Arkell. 3jab.GBR.hum
AF521653=swAustralia. 3jab.AUS.pig(*)
HE797856=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI
HE797857=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ807486=WS28-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ807488=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ807489=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ807490=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ807491=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ807492=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI
JQ965993=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI
JF431017=SI-P36. 3k.SVN.pig
JF431023=SI-P65. 3k.SVN.pig
JF431032=SI-P6. 3k.SVN.pig
JF431034=SI-P6. 3k.SVN.pig
JF431037=SI-P36. 3k.SVN.pig
JF431042=SI-P65. 3k.SVN.pig
EF491206=EF491206. 3l.BRA.pig
JX880196=He_Uy8. 3l.URY.hum
JX880197=He_Uy3. 3l.URY.hum
JX880198=He_Uy4. 3l.URY.hum
JX880199=He_Uy7. 3l.URY.hum
JX880200=He_Uy10. 3l.URY.hum
JX880201=He_Uy11. 3l.URY.hum
JX880202=He_Uy14. 3l.URY.hum
JX880203=He_Uy15. 3l.URY.hum
JX880204=He_Uy3. 3l.URY.hum
JX880205=He_Uy4. 3l.URY.hum
JX880206=He_Uy10. 3l.URY.hum
JX880207=He_Uy11. 3l.URY.hum
JX880208=He_Uy15. 3l.URY.hum
JX880209=He_Uy7. 3l.URY.hum
JX880210=He_Uy8. 3l.URY.hum
JX880211=He_Uy3. 3l.URY.hum
JX880212=He_Uy4. 3l.URY.hum
JX880213=He_Uy4. 3l.URY.hum
JX880214=He_Uy8. 3l.URY.hum
JX880215=He_Uy10. 3l.URY.hum
JX880216=He_Uy11. 3l.URY.hum
JX880217=He_Uy13. 3l.URY.hum
JX880218=He_Uy14. 3l.URY.hum
JX880219=He_Uy15. 3l.URY.hum
JX880220=He_Uy12. 3l.URY.hum
KC012631=Yaounde56. 3l.Cameroon.pig.BNI
KC012632=Yaounde94. 3l.Cameroon.pig.BNI
KC012633=Bamenda41. 3l.Cameroon.pig.BNI
KC189822=He_Uy12. 3l.URY.hum
KF679999=He_Uy3. 3l.URY.hum
KF680000=He_Uy4. 3l.URY.hum
EU879120=V0716883. 4.DEU.hum.UReg
HQ842728=BeSW68HEV4-2008. 4.BEL.pig
HQ857384=BeSW67HEV4-2008. 4.BEL.pig
AB197673=JKO-ChiSai98C. 4a.CHN.Xian.hum.CG
AB197674=JYI-ChiSai01C. 4a.CHN.Shanghai.hum.CG
EF077630=Ch-S-1. 4a.CHN.hum.CG
EU366959=swGX32. 4a.CHN.pig.CG
FJ642016=Ch-MD-sw23. 4a.CHN.pig
AB075967=V091ORF1. 4b.VNM.hum
DQ279091=swDQ. 4b.CHN.pig.CG
EU676172=swGX40. 4b.CHN.pig.CG
AB074915=JAK-Sai. 4c.JPN.Saitama .hum(*).CG
AB074917=JKK-Sap. 4c.JPN.Hokkaido.hum(*).CG
AB080575=HE-JI4. 4c.JPN.Tochigi .hum(*).CG
AB082545=HE-J1. 4c.JPN.hum(*)
AB082546=HE-JA1. 4c.JPN.Hokkaido.hum(*)
AB082557=HE-JA1. 4c.JPN.Hokkaido.hum(*)
AB091395=JSN-Sap-FH. 4c.JPN.Hokkaido.hum(*).CG
AB097811=swj13-1. 4c.JPN.Hokkaido.pig(*).CG
AB097812=HE-JA1. 4c.JPN.Hokkaido.hum(*).CG
AB099347=HE-JK4. 4c.JPN.Tochigi .hum(*).CG
AB108657=HE-JA18. 4c.JPN.Hokkaido.hum(*)
AB108664=swJL145. 4c.JPN.Hokkaido.pig(*)
AB161717=JSM-Sap95. 4c.JPN.Hokkaido.hum(*).CG
AB193176=JSF-Tot03C. 4c.JPN.Tottori.hum(*).CG
AB193177=JYN-Sap01C. 4c.JPN.Hokkaido.hum.CG
AB193178=JYN-Nii02L. 4c.JPN.Niigata.hum.CG
AB220971=HE-JF3. 4c.JPN.Mito.hum(*).CG
AB220972=HE-JF4. 4c.JPN.Hokkaido.hum(*).CG
AB220973=HE-JF5. 4c.JPN.Hokkaido.hum(*).CG
AB220975=HE-JA19. 4c.JPN.Hokkaido.hum(*).CG
AB220976=HE-JA28. 4c.JPN.Hokkaido.hum.CG
AB220977=HE-JA36. 4c.JPN.Hokkaido.hum.CG
AB220978=HE-JA37. 4c.JPN.Hokkaido.hum.CG
AB220979=HE-JA41. 4c.JPN.Hokkaido.hum.CG
AB291959=JTC-Kit-FH04L. 4c.JPN.Hokkaido.hum.CG
AB291966=JST-KitAsa04C. 4c.JPN.Hokkaido.hum.CG
AB291967=JKO-Aba-FH06C. 4c.JPN.Hokkaido.hum.CG
AB481227=swJB-H7. 4c.JPN.pig.CG
GU188851=WH09. 4c.CHN.pig.CG
KF736234=CHN-QH-Yak27. 4c.CHN.yak.CG
AJ272108=T1. 4d.CHN.Beijing.hum(*).CG
AY594199=swCH25. 4d.CHN.Xinjian.pig(*).CG
FJ610232=swCH189. 4d.CHN.Gansu.pig.CG
KC163335=CH-YT-1. 4d.CHN.hum.CG
AY723745=IND-SW-00-01. 4e.IND.pig.CG
AB082547=HE-JA2. 4f.JPN.Hokkaido.hum(*)
AB082558=HE-JA2. 4f.JPN.Hokkaido.hum(*)
AB220974=HE-JA2. 4f.JPN.Hokkaido.hum(*).CG
AB108537=CCC220. 4g.CHN.Changchun.hum(*).CG
AB698654=JTF-Yamagu11. 4g.JPN.Yamaguchi.hum.CG
AB369690=E067-SIJ05C. 4i.CHN.Shanghai.hum.CG
DQ079628=WB1-Aichi. 4i.JPN.wb
DQ079631=Li-G4-62. 4i.CHN.hum
DQ450072=swCH31. 4i.CHN.pig.CG
EF570133=SH-SW-zs1. 4i.CHN.pig.CG
AB605183=wbJOY_06. 6.JPN.wb
AB605213=wbJOY_06. 6.JPN.wb
FJ906895=GDC9. Rab.CHN.Gansu.rabbit.CG
FJ906896=GDC46. Rab.CHN.Gansu.rabbit.CG
GU937805=ch-bj-n1. Rab.CHN.Gansu.rabbit.CG
KC473527=. .CHN.musk 
KC473528=. .CHN.musk 
KC473529=. .CHN.musk 
KC473531=. .CHN.musk 
KC802090=. .mink
